Frecuencia (Hz)	Nivel (dB)
19509,082031	-31,962523
19552,148438	-33,417217
19595,214844	-34,728928
19638,281250	-32,692638
19681,347656	-32,194740
19724,414063	-34,250507
19767,480469	-34,249069
19810,546875	-32,246178
19853,613281	-32,927788
19896,679688	-36,829453
19939,746094	-43,313179
19982,812500	-51,285141
20025,878906	-59,751038
20068,945313	-67,912094
20112,011719	-75,232483
20155,078125	-81,493210
20198,144531	-86,737129
20241,210938	-91,131332
20284,277344	-94,857277
20327,343750	-98,065765
20370,410156	-100,870911
20413,476563	-103,357117
20456,542969	-105,586739
20499,609375	-107,605309
20542,675781	-109,450241
20585,742188	-111,147621
20628,808594	-112,718697
20671,875000	-114,181374
20714,941406	-115,549660
20758,007813	-116,835403
20801,074219	-118,046196
20844,140625	-119,190506
20887,207031	-120,274635
20930,273438	-121,303917
20973,339844	-122,284111
21016,406250	-123,220528
21059,472656	-124,116852
21102,539063	-124,968742
21145,605469	-125,789986
21188,671875	-126,576248
21231,738281	-127,320450
21274,804688	-128,043396
21317,871094	-128,728531
21360,937500	-129,390335
21404,003906	-130,023285
21447,070313	-130,615356
21490,136719	-131,171555
21533,203125	-131,727905
21576,269531	-132,230331
21619,335938	-132,709961
21662,402344	-133,130173
21705,468750	-133,542130
21748,535156	-133,908585
21791,601563	-134,221298
21834,667969	-134,498413
21877,734375	-134,727463
21920,800781	-134,902863
21963,867188	-135,016891
22006,933594	-135,066650
